Country,CO2 Emission,Human Development Index,Life Expectancy at Birth,Expected Years of Schooling,Mean Years of Schooling,Gross National Income Per Capita,GNI cat,Year
Liechtenstein,1.95,0.935,83.2575,15.18157005,12.53854,146829.7,Very High GNI,2021
Singapore,9.4,0.939,82.7545,16.5243206,11.92488003,90918.6,Very High GNI,2021
Qatar,33.93,0.855,79.2716,12.63722038,9.99601145,87134.1,Very High GNI,2021
Luxembourg,13.51,0.93,82.6287,14.39813995,13.01519217,84649.5,Very High GNI,2021
Ireland,6.74,0.945,81.9976,18.94522095,11.58222303,76169.0,Very High GNI,2021
Switzerland,3.95,0.962,83.9872,16.50029945,13.85966015,66933.0,Very High GNI,2021
United States,13.47,0.921,77.1982,16.28097916,13.68342972,64765.2,Very High GNI,2021
Norway,7.65,0.961,83.2339,18.18519974,13.00362968,64660.1,Very High GNI,2021
Brunei Darussalam,16.2,0.829,74.6424,13.95178032,9.18,64489.5,Very High GNI,2021
Hong Kong,4.35,0.952,85.4734,17.27816963,12.22620964,62606.8,Very High GNI,2021
United Arab Emirates,19.29,0.911,78.7104,15.71769047,12.69402981,62573.6,Very High GNI,2021
Denmark,4.48,0.948,81.3753,18.71479988,12.96049023,60364.8,Very High GNI,2021
Netherlands,8.33,0.941,81.6873,18.69316522,12.58162975,55979.4,Very High GNI,2021
Iceland,7.9,0.959,82.6782,19.16305923,13.76716995,55782.0,Very High GNI,2021
Germany,7.62,0.942,80.6301,17.01013947,14.09096691,54534.2,Very High GNI,2021
Sweden,3.85,0.947,82.9833,19.41852951,12.60972023,54489.4,Very High GNI,2021
Austria,7.21,0.916,81.5797,16.00795937,12.25669003,53618.7,Very High GNI,2021
Kuwait,21.18,0.831,78.6729,15.32443332,7.328022618,52919.8,Very High GNI,2021
Belgium,7.81,0.937,81.8787,19.60421944,12.37567997,52293.4,Very High GNI,2021
Finland,6.85,0.94,82.0381,19.05192947,12.87362003,49452.2,Very High GNI,2021
Australia,14.83,0.951,84.5265,21.05459023,12.72681999,49238.4,Very High GNI,2021
Canada,14.59,0.936,82.6565,16.39625931,13.83442722,46808.0,Very High GNI,2021
Saudi Arabia,16.56,0.875,76.936,16.13549042,11.31052971,46111.6,Very High GNI,2021
France,4.25,0.903,82.4988,15.81206989,11.61005974,45937.1,Very High GNI,2021
United Kingdom,4.74,0.929,80.7422,17.30971909,13.4061203,45224.8,Very High GNI,2021
Republic of Korea,11.75,0.925,83.6978,16.52173996,12.51293027,44500.9,Very High GNI,2021
New Zealand,6.89,0.937,82.4513,20.28388977,12.94468975,44057.3,Very High GNI,2021
Italy,5.0,0.895,82.8502,16.22678947,10.7401104,42839.5,Very High GNI,2021
Japan,8.34,0.925,84.7839,15.22162588,13.36610034,42274.3,Very High GNI,2021
Israel,6.88,0.919,82.255,16.05088997,13.3448664,41523.7,Very High GNI,2021
Slovenia,6.9,0.918,80.6904,17.65492058,12.80368042,39746.0,Very High GNI,2021
Bahrain,21.48,0.875,78.7605,16.29755974,11.04658985,39497.2,Very High GNI,2021
Malta,3.74,0.918,83.7769,16.83856964,12.21026039,38884.5,Very High GNI,2021
Spain,4.57,0.905,83.01,17.91690063,10.60540009,38353.6,Very High GNI,2021
Cyprus,5.33,0.896,81.2033,15.64826965,12.44017029,38188.4,Very High GNI,2021
Estonia,10.66,0.89,77.1436,15.92895985,13.54843044,38048.3,Very High GNI,2021
Lithuania,4.75,0.875,73.7201,16.28506088,13.49810028,37931.3,Very High GNI,2021
Portugal,3.87,0.866,81.0443,16.87122917,9.575940132,33154.5,Very High GNI,2021
Poland,7.8,0.876,76.4572,16.0271492,13.1647501,33034.0,Very High GNI,2021
Latvia,3.67,0.863,73.5786,16.20252991,13.25271988,32803.2,Very High GNI,2021
Hungary,5.13,0.846,74.5301,15.0336281,12.24958992,32789.0,Very High GNI,2021
Turkey,4.97,0.838,76.0324,18.3382206,8.63313961,31032.8,Very High GNI,2021
Slovakia,6.07,0.848,74.9101,14.51303959,12.91141987,30690.5,High GNI,2021
Bahamas,8.92,0.812,71.5983,12.89945,12.64192386,30486.2,High GNI,2021
Croatia,4.18,0.858,77.5804,15.11209965,12.19108434,30132.3,High GNI,2021
Romania,3.77,0.821,74.1847,14.22990036,11.27511978,30027.3,High GNI,2021
Greece,4.7,0.887,80.1106,20.02878952,11.40853024,29002.5,High GNI,2021
Russia,12.5,0.822,69.419,15.76636982,12.77428805,27166.3,High GNI,2021
Oman,16.63,0.816,72.5406,14.57349014,11.65404034,27054.3,High GNI,2021
Panama,2.6,0.805,76.2233,13.05787868,10.54059029,26956.8,High GNI,2021
Malaysia,7.79,0.803,74.8839,13.34304047,10.64505959,26657.9,High GNI,2021
Seychelles,10.48,0.785,71.2945,13.94161034,10.28312,25830.6,High GNI,2021
Chile,4.52,0.855,78.9435,16.73130035,10.9349663,24563.2,High GNI,2021
Kazakhstan,11.34,0.811,69.3622,15.76500034,12.34756189,23942.8,High GNI,2021
